category,title_clean,artist_clean,lyrics_devanagari,line_count,char_count,script_style_original,script_style_cleaned,transliterated
nepali,Sanskriti,Mantra Band,"बिर्सेको छैनौ हामी संस्कृति अझै पनि
नशा नशा मा पुर्खाको रगत बग्दछ अझै पनि
शिरमा टोपी नहोला हाम्रो, दौरा सुरुवाल नहोला
शिरमा टोपी नहोला हाम्रो, दौरा सुरुवाल नहोला
तर छाती भरी माया छ आफ्नै जाती प्रती
देउराली पाखा भिरालो कसरी बिर्सुला
यहि माटोमा जन्मेको यसैमा मिलुला
देउराली पाखा भिरालो कसरी बिर्सुला
यहि माटोमा जन्मेको यसैमा मिलुला
नौलो छ शैली हाम्रो, नौलो छ हाम्रो यो भेष
बिर्सेको छैनौ तर पहाड, झरना, खोलाको देश
डम्फु र मादल नहोला हाम्रो, सारंगी नहोला
डम्फु र मादल नहोला हाम्रो, सारंगी नहोला
तर मुटु भरी माया छ यहाकै संगीत प्रती
मारुनी, सेलो, जुहारी प्रेरणा हाम्रो हो
जे भने नि लोक भाका साह्रै नै राम्रो हो
मारुनी, सेलो, जुहारी प्रेरणा हाम्रो हो
जे भने नि लोक भाका साह्रै नै राम्रो हो
शिरमा टोपी नहोला हाम्रो, दौरा सुरुवाल नहोला
शिरमा टोपी नहोला हाम्रो, दौरा सुरुवाल नहोला
तर छाती भरी माया छ आफ्नै जाती प्रती
देउराली पाखा भिरालो कसरी बिर्सुला
यहि माटोमा जन्मेको यसैमा मिलुला
देउराली पाखा भिरालो कसरी बिर्सुला
यहि माटोमा जन्मेको यसैमा मिलुला
मारुनी, सेलो, जुहारी प्रेरणा हाम्रो हो
जे भने नि लोक भाका साह्रै नै राम्रो हो
देउराली पाखा भिरालो कसरी बिर्सुला
यहि माटोमा जन्मेको यसैमा मिलुला
मारुनी, सेलो, जुहारी प्रेरणा हाम्रो हो
जे भने नि लोक भाका साह्रै नै राम्रो हो",31,1161,mixed,devanagari,0
nepali,Mero Mana Ma,Samir Shrestha,"मेरो मन मा तिम्लाइ राखिसके
मेरा यादहरु मा तिम्लाइ सजाइ सके
जानदिउ माया तिमीलाई कसरी ?
बसन मेरै अंगालोमा बेरी
तिम्रा बातहरु मा यो मन रमाई सक्यो
तिम्रो लत मलाइ हेर लागिसक्यो
जानदिउ माया तिम्लाई कसरी?
बाच्न सिकेछु तिम्लाई पाए पछि
तिम्रै मुहर हेरी
तिम्रै चित्र केरी
तिम्रै बातहरु मा सारा संसार भुली
हसाइराखुला तिमिलाइ जसो जे गरि
जाने नै हौ तिमि रोकु कसरी ?
अनन्त भावना पोखु कसरी ?
बसौला माया तिम्लाई पर्खेर
जाने छैन म कतै बदलेर ।",16,425,mixed,devanagari,0
romanized,VTEN - CYPHER,Genius Romanizations,"राम्रो सागा सुन्चास वने राम्रो गीत
नराम्रो सागा सुन्छन् वने नराम्रो दिश
पचाउने ले पचाउछ
नपचाउने हरूले मुख मा औला कोचरेर चादे हुन्छ
कोही साथी प्रहरी बने कोइ साथी गुण्डा
कोही चाइ खलासी गर्छ मा चाइ आफ्नै धुन मा
यस्तै एक्सए पारा मेरो काम धम चैन
मेरो परिवार हुने खाने खाँदन हैन
तारा बाल लाग्दैन कैले हार मान्दैन
मा फस्ने वाला चैन तैले जाल फाल्दैमा
बोकेर दौडिराको छु मा नया सोच
संघर्ष गर्न आको हु गर्दिन मा या मोज
तेसैले मा केही गरेर खान्छु
नत्र मरेर जाँचु
बारु लडेर बच्चु
अघि बढेर हास्चु
मेरो नया सोच नया बिचार एक्सए
वरिपरि स्याल हरू आयो मलाई चिथर्न
तेइपानी उठ्चु मा दुःख लाई बुझ्नु एक्सए
आफ्नो जिम्मेवारी को अगाडी जैले पुग्छु मा
तेसैले बुझी राको छु यो सब कुरा हरू
म्यान्क्स मा फता छु तारा बोलेको पुरा गर्छु
बल्ला बल्ला होस एएक्सए चैन मन मा लोव लालच
हरायेको यात्री हु मा डराउदिन चोट खाना
घाइते छु मा आजा तारा सक्या चैन जोश जगर
एकलो वये मा जाआ लौरे लाई खोज का एक्सए
तारा या सबै जना लुटेर रा चोर फता
मा कता
तेतै दौडिन्छु मलाई फैदा आउछ जो बाटा
साला फोकट मा
जिन्दगी खेल्दै छु मा जुवा जस्तो बोट चक्क
तारा आइले मोज गर्दा पानी कैले दिदिन साँ
मैले बिर्स्या चैन मा खाते आको थिये रोड बाटा
टप तान्न, चिर्थे गल्ली
तारा आइले चिर्चु मुजी नोट चाप्न",35,1128,romanized,devanagari,1
romanized,Chhewang Lama - Lahure,Genius Romanizations,"केवल तिमी नै मेरो प्रेर्णा
केवल तिमी नै मेरो प्रेर्णा
बिन्ती तिमी पानी मलाई हेराना
कस्तो माया तिमी संग बस्यो
तिम्रो सप्न आँखा मै सज्यो
केवल तिमी नै मेरो प्रेर्णा
बिन्ती तिमी पानी मलाई हेराना
तिम्रो मन मा मेरो माया छ हेरा
तिम्रो जवानी लाई किना फाल्छौ हेरा
आउ तिमी आउ हामी सँगै रमाउ
पिरती गसुला
आउ तिमी आउ हामी सँगै रमाउ
छाम्छामी नचुला
मर्छु भना मेरो लागी
मै पानी मरुला
कस्तो माया तिमी संग बस्यो
तिम्रो सप्न आँखा मै सज्यो
केवल तिमी नै मेरो प्रेर्णा
बिन्ती तिमी पानी मलाई हेराना",19,475,romanized,devanagari,1
nepali,Bhan Saali Teri Didi Ka Chha (Paschimeli Chelo),Chakra Bam,"केटा: चक्लेट दिया भुल्लि जान्थि हिरा चणि नाच
अहिले पो ठुलीभइ भन सालि तेरि दिदि काछ
काख राखि म्वाइ खायाको हिरा चणि नाच
अबत भुलीहोइ भन सालि तेरि दिदि काछ
केटि: बालापन रहेन अब हिरा चणि नाच
नगर ख्याल ठट्टा ओ भेना मेरि दिदि काछ
छैनप उहिलेका जसो हिरा चणि नाच
भरि गया बुट्टा ओ भेना मेरि दिदि काछ
केटा: (ए लौ लौ लौबिर्या छम्को)
(ए लौ लौ लौबिर्या छम्को)
(पस्चिमेलि चेलो छैन है कमको)
(पस्चिमेलि चेलो छैन है कमको)
केटा: बैशको घमण्ड नगर हिरा चणि नाच
तस्सोइ ओइलि जालो भन सालि तेरि दिदि काछ
घरकि ले मन भरेन हिरा चणि नाच
अब तेरो पालो भन सालि तेरि दिदि काछ
केटि: कल्कलाउदो जोबन मेरो हिरा चणि नाच
बसुलाकि जलाइ ओ भेना मेरि दिदि काछ
दिदि माथि सौता जान्या हिरा चणि नाच
क्या सोच्याछौ मलाइ ओ भेना मेरि दिदि काछ
केटि: (ए लै लैलै लै बिरि छम्कि )
(ए लै लैलै लै बिरि छम्कि )
(पस्चिमेलि चेलि छैन है कमकि)
(पस्चिमेलि चेलि छैन है कमकि)",24,806,mixed,devanagari,0
romanized,Black And White,ZEROO,"टीएमलाई माया गर्दा आफूलाई नेइ बिर्सी चु
माया को खेल मा हारे सायद भोली जित्नी चु
टीएमले चेडी पचि धेरै क्ति हरू भेटे तारा साचै भन्नु पर्दा खास मा एन नोन ओएफ थेम काउल्ड रिप्लेस योउ उसको हात समात्दा पानी टीएमआरओ याद आउचा
टीएमआई जा चाउ अहिले मलाई मान चा एकदम त्य आउन
उह रमाउदैन मेरो टाउको को त्यो क्याप लाउन
टीएमआई नभाको भये सायद चोड्थे मेइली राप गाउन टीएमले चादी गयोउ बेसी मा त्येई अल्झेर
ह्येर्चु टीएमआरओ फोटो जेली बस्चु टीएमलाई सम्झेर
एकलो हुना मान्न्थेन त्येई याद हरू मा एड्की मा
तारा जाने म्यान्ची गायिसके सीआई आउँन फर्केर
यो मुटु माथि मेरो घटक प्रहार भयिराख्यो
ना साथ मा तान्न पैसा थ्यो, यो आखान आशार महिना भो
टीएमले चादी गयिहाल्योउ मा सौरव हैन पाइलाको
चोको थियो माया तारा मुटु टीएमआरओ मैला भो
रिलेशनशिप मा अम्मा कस्सम एकदमै सेरियस थे जिन्दगी भाचा ब्ल्याक एन्ड ह्वाइट पुरानो टीवी जस्तै
पाउ मा टीएमआरओ गिरी रहे खुट्टा भये जुत्ता कट्टी आउचा तारा का पाउन रा क्ति ठ्याक्क टीएमआई जस्तैई
धेरै कुरा सुनाउनु चा तारा एटा को चा रा
भाग्यमानी हुन्चा त्यो आबा जाँचौ जो संग
राम्रो संग होस गरा नदिनु आफ्नो जबाना
सोधे मेरो ब्यारे मा पुरानो साथी हो भना
नाशा मा एकदम डुब्न मदिरा नी पेउन मान चा टुक्रेको मुटु लाई सम्हाली फेरी सेउन मान चा
तिमीलाई भ्येटेको पैला दिन फेरी जुइनु मान चा
टीएमलाई पौचु अँगालो मा तारा थोरै पेउनु पर्चा
खुसी ता भाको थे टीएमआरओ भरोसा जित्दा पानी
मानः को कुरा सबै मेरो यो गीत मा चा नी
चडेर जाँचु भन्दा दुःख्य थ्यो चित्त थोरै
त्म्रेई याद आउचा बाघबजार को गल्ली हिर्दा पानी
मुटु यो घायल भयो चोड्दिन्छु पगल पान यो
टीएमआरओ त्यो आँगालो मा लाग्थ्यो की आफ्नो पान थ्यो सुनिना आफ्नो मान को तान्चु चुरोट को सरको
आजा भयिन अन्जाँ हिजो ज्यास्ले मलाई आफ्नो भन्थ्यो सुनाउदा गीत मेरो भन्थ्योउ टीएमआरओ फान हो मा
सजाउथ्यो परिवार भयेनी आफ्नेई एउटा स्यानो घर एकदमै लजालु थ्योउ टीएमआरओ आवाज आझै प्यारो चा
घरी घरी याद आउचा त्यो अँगालो को न्यानोपन
गारो हुन्चा आशु ले आखान भारे पचि
चित्त दुख्च आफ्नो ले नै साथ चोडी पचि
दिन भरि मुहार मा झुटो हासो हुन्चा तारा कस्सम धेरै याद आउचा साझा पारे पचि
टीएमआई फर्किन्नौ मा गर्चु एसको समाना
भन्या थे टीएमलाई ल्याउदिन नी मेरो गाना मा
सधै हुनु खुसी आशु नहोस् टीएमआरओ आखा मा
नया जिन्दगी को टीएमलाई धेरै सुभकामना",38,2025,romanized,devanagari,1
nepali,Bhumari,Chirag Khadka,"उड्न देउ मलाई पन्छी जस्तै
पुराना दिनहरु याद बनि सम्झी बस्दै
झझल्को रंगीन सबै, हराउछु म संगीतमै
मनको कुरा मन भित्रनै, बुझिन्छ सब अन्तिम मै
सुरुवात छ अन्योल
अचम्मको पल यो
घडबड हुन्छ मन यो
घामको किरण टल्क्यो
हात कोरिदा सल्क्यो
धैर्य धारन बल्यो
तेसै कारण आत्ते पनि सबै ठिक छ भन्दियो
जीवनको यात्रा एक संगर्स हो
हैन यो दुई दिन तीन महिना चार वर्षको
एक्कैछिनलाई पर्ख ब्रो
लाइफ पुरै सर्कस हो
यत्तिकै बाचेर यो जीवनको के यहाँ अर्थ भो
निकाल रिस तिम्रो जस्तो बिष
कालो सर्पको पो तानेर
जैले हाइ हुदै फेरी अर्थ खोज
अफ्ट्यारो र कठिन, सजिलो र सरल होस्
मरेपछि पुग्ने हामी एउटै ठाउँ
परलोग, एचएमएम
जीवनको भुमरीले घुमौलाहै घुमौला है
मलाई बाल भन्दै हिड्न सिक हिड्न सिक
तैरिदै जाउ फेरी डुबौला है डुबौला है
पानीको झालसंगै बग्न सिका बग्न सिक
जीवनको भुमरीले घुमौलाहै घुमौला है
मलाई बाल भन्दै हिड्न सिक हिड्न सिक
तैरिदै जाउ फेरी डुबौला है डुबौला है
पानीको झालसंगै बग्न सिका बग्न सिक",30,854,mixed,devanagari,1
nepali,Lai Bari Lai,Vek,"के भन्नु खोई शब्दहरू हराए छन् सबै
लाग्दैछ उडी रहेछु म माथी एक्लै
झस्किनछु, के भएको म?
आफैसंगै बोल्दै बस्छु सधैँ
लाग्दैछ अल्झी रहेछु म कहीं कतै (अल्झी रहेछु म कहीं कतै)
आतीन्छु के गर्दिनँ म (के गर्दिनँ म)
केहि गर्नु मन छैन मलाई
हाँस्दिन्छु एकफेर सम्झेर आफैलाई हेरेर, लै-बरि-लै
लै-बरि-लै
लै-बरि-लै
लै-बरि-लै
ल-ल-ल-ल-ल-ल
लै-बरि-लै
ल-ल-ल-ल-ल-ल-लै-बरि
ल-ल-ल-ल-ल-ल-लै-बरि
हेर्छु बाहिर लाग्छ दुनिया अर्कै
कुरा विभिन्न प्रश्नहरू उठ्छ धेरै
छिनमा लाग्छ रमाईलो, छिनमा हराउछु आफै (आफै)
उठेर पुगे जस्तो लाग्छ धेरै पर, तर हुन्छु म यतै कतै",19,524,mixed,devanagari,0
nepali,Yasto Pani Hudo Raichha,Phatteman,"यस्तो पनि हुँदो रैछ
जिन्दगीमा कहिले कहिले
कसैलाई माया गर्नु
एउटा भुल गरें मैले
यस्तो पनि हुँदो रैछ
यस्तो पनि हुँदो रैछ
जिन्दगीमा कहिले कहिले
कसैलाई माया गर्नु
एउटा भुल गरें मैले
यस्तो पनि हुँदो रैछ
मेरो जस्तो माया दिने
तिमीलाई हजार होलान
तिम्रा लागि मेरा जस्ता
हजार हजार मुटु रोलान
जसलाई आफ्नो सम्झेको थिएँ
उही बिरानो भयो अहिले
कसैलाई माया गर्नु
एउटा भुल गरें मैले
यस्तो पनि हुँदो रैछ
मेरो माया कुल्ची जाने
तिम्रो माया फलोस फुलोस
मेरो इच्छा मारी जाने
तिम्रो इच्छा सधैँ पुगोस्
उदास आँखा मेरा पनि
सपना देख्थे पहिले पहिले
कसैलाई माया गर्नु
एउटा भुल गरें मैले
यस्तो पनि हुँदो रैछ",28,575,mixed,devanagari,0
nepali,Marijau,Sajjan Raj Vaidya and Bikky Gurung,"कुरा सबै थाहै छ नि, तिमीलाई के भनु म?
पागल छु म तिम्रै लागि, तिम्रो के नै छ र दोष?
तिमी हाँसेको हेरीरहे सधैं भरि यसरी नै
तिम्रो आँखामा आँसु देखे मरी जाँऊ, सासै राेकी
कुरा सबै थाहै छ नि, तिमीलाई के भनु म?
पागल छु म तिम्रै लागि, तिम्रो के नै छ र दोष?
तिमी हासेको हेरीरहे सधैं भरि
यसरी नै तिम्रो आँखामा आँसु देखे मरी जाँऊ, सासै राेकी
मरी जाँऊ, मरी जाँऊ, मरी जाँऊ, मरी जाँऊ, येआह
तिमी नै हौउ, तिमी नै हौउ
मनले रोजेको, तिमी नै हौउ
एकान्तमा आएर कानमा मेरो सधै गुनगुनाउने
पोखेर मानका भावना, सधैं मलाई अंगालने
एकान्तमा आएर कानमा मेरो सधै गुनगुनाउने
पोखेर मानका भावना, सधैं मलाई अंगालने
तिम्रो बानी, मनमानी सबै याद आई रहन्छ
कल्कालाउँदो मेरो छाती सास आधि रहन्छ
मरी जाँऊ, मरी जाँऊ
तिमी नै हौउ, तिमी नै हौउ",19,694,mixed,devanagari,1
nepali,Lutna Sake Loot,Pashupati Sharma,"हाम्रा गामको एउटा भाइ स्थायी शिक्षकमा लड्यो
स्थायी शिक्षक हुन्छु भनी पढ्नुसम्म पढ्यो
बल्ल बल्ल नाम निकाल्यो अहिले जागिर खान्छ
त्यसकै छोरो पढ्न फेरि बोडिंगतिर जान्छ
लुट्न सके लुट, कान्छा, लुट्न सके लूट
ए लुट्न सके लूट, कान्छा, लुट्न सके लूट (लूट)
अरु देशमा पाइदैन नेपालमै हो छुट
ए कान्छा, अरु देशमा पाइँदैन नेपालमै हो छुट
ए कान्छा, अरु देशमा पाइँदैन नेपालमै हो छुट
डाक्टरले नि जागिर यहाँ सरकारी कोटामा खान्छ
बिरामी जाँच्न फेरि क्लिनिकतिर तान्छ
हाम्रा गामको अर्को भाइले सुब्बामा जागिर खायो
दुईवर्षमै घर ठड्यायो, कहाँबाट पैसो आयो ?
लुट्न सके लुट, कान्छा, लुट्न सके लूट
ए लुट्न सके लूट, कान्छा, लुट्न सके लूट (लूट)
अरु देशमा पाइदैन नेपालमै हो छुट
ए कान्छा, अरु देशमा पाइँदैन नेपालमै हो छुट
ए कान्छा, अरु देशमा पाइँदैन नेपालमै हो छुट",18,728,mixed,devanagari,0
nepali,Suna Bhanana,Udit Narayan & Deepa Jha,"सुन, भन न, जुन हेर न
कस्तो शीतल, तिम्रो छायाको
एउटै सहारा तिम्रै मायाको
सुन, भन न, जुन हेर न
कस्तो शीतल, तिम्रो छायाको
एउटै सहारा तिम्रै मायाको
एउटै सहारा तिम्रै मायाको
सावन बादलको नाता बर्खे झरीजस्तै
दिन र रात एक हुने सिन्दूर साँझजस्तै
सावन बादलको नाता बर्खे झरीजस्तै
दिन र रात एक हुने सिन्दूर साँझजस्तै
सुन, भन न, फुल पात
जस्तो साथ, हाम्रो मनको
एउटै सहारा तिम्रै मायाको
एउटै सहारा तिम्रै मायाको
फूल्दछ फूलहरू आफै आफ्नै रहर बनी
डाँडाकाँडा पहाड पर्वत सहर बनी, बनी
फूल्दछ फूलहरू आफै आफ्नै रहर बनी
डाँडाकाँडा पहाड पर्वत सहर बनी, बनी",19,530,mixed,devanagari,0
nepali,Mann Ka Bhawana,Apurva Tamang,"मनमा कुरा खेली रह्यो आज मेरो
मनका भावनाहरुलाई कसरि रोकु म
तिमीलाई देख्दा जहिले मन अतालिने गर्छ
तिम्रो बोलि सुन्दा मनले धुन गुनगुनाउने गर्छ
त्यसैले डर लाग्छ कि गुमाउने छु म तिमीलाई
जब कि तिमी मेरो हैनौ कसरि सम्झाउ यो मनलाई
ओ-हुम-हुम
कास मैले थाहा पाए हुन्थ्यो तिम्रो मनको कुरा
तिमि संग मेरो कथा हुने होकी कतै पुरा
गहिरो त्यो आँखामा म डुबी सके
सोच्दै तिम्रो बारे मैले आज यो गीत लेखे
तर किन डर लाग्छ कि गुमाउने छु म तिमीलाई
जब कि तिमी मेरो हैनौ कसरी सम्झाउ यो मनलाई
ओ-हुम-हुम
ओ-हुम-हुम",15,482,mixed,devanagari,0
romanized,B-8eight - Alikati,Genius Romanizations,"एह-एह-एह-एह
एह-एह, एह-हेह
एह-एह-एह-एह
एह-एह-एह-एह
एह-एह-एह-एह
एह-एह-एह-एह
अलिकति अल्झेको मायालाई पुरै बस्न देउ
आधा-आधा फसी सक्यो बोरु पुरै डुब्न देउ
अलिकति रामेको मनलाई पुरै रम्न देउ
साधा-साधा जिन्दगी तिमी सँगै रम्न देउ
मेरो मन को रङ्ग मञ्च मा तिम्रै अभिनय चा हित
महाभारत फिका लाग्छ तेती तातो तिम्रो रिश
तेसैले नारिशी सुनाना मेरो कुरा प्लिज
प्लेलिस्ट नै दोहोअरू लाग्ने तिमी मेरो त्यो गीत
अलिकति, अलिकति माया त्यो सरी देउ
अलिकति, अलिकति त्यो रिश लाई मारी देउ
अलिकति, अलिकति चेउ आइ बसी देउ
अलिकति, अलिकति सम्बन्ध कसी देउ
लेट मे ताके योउ थेरे ह्वेरे आई'वे बीन विलिङ यूएस टो गो
एन्ड विथ योउ इभरी टाइम आई'एम हाइ
थेरे एइन्ट नो टाइम ह्वेन आइएम लोव
इवेन ह्वेन आई'एम नोट स्मोकिङ
एन्ड गर्ल, आई एआईएन'टी जोकिङ
आइएफ युरे गोने, आइएफ युरे गोने आई'डी बे बोर्केन
काउस गर्ल विथ योउ आई फील कम्प्लिट, येआह
थेरे'एस नो ओने एबोव योउ फोर मे, येआह
योउ क्नो थात आई लव योउ बुट काउल्ड नेवर क्याल
योउ एसीटी सो अनक्नाउन थाउघ योउ क्नो आइटी एएलएल
अरको जुनी हुन्चा हुन्न थाहा चैन
येही जुनी साथ दिन्चु मा
मेरो मन भित्र को माया सबै
तिम्रो मनमा सरी दिन्चु मा
अनी सँगै-सँगै हिडौला
हाम्रो माया को कोसेली सतमला
सधै-सधै साथ दिने कसम खै
दुःख-सुखा बदमला",36,1112,romanized,devanagari,1
nepali,Hukka Mero,Karma Band,"हुक्का मेरो, ओ-ओ
हुक्का मेरो, डल्ले, डल्ले
नालीनलाई खन्न, नालीनलाई खन्न
यती राम्री मोटिलाई आगि नलाई जान्न (ल है!)
आगि नलाई जान्न
तल्ला घरको-ओ-ओ
तल्ला घरको, बुढा चोकी
माथ्ला घरको कुर्सी, माथ्ला घरको कुर्सी
जोवन खेर जान्छ गरी यता र उती (ल है!)
गरी यता र उती
आकाशैको, ओ-ओ
आकाशैको, थैलोमैलो
बदलुको घेरो, बदलुको घेरो
जता हेर्छु तिमी मात्रै कस्तो कर्म यो मेरो? (ल है!)
कस्तो कर्म यो मेरो?
उकालीको, ओ-ओ
उकालीको, चिसो पानी
खाई जाऊजाऊ लाग्छ, खाई जाऊजाऊ लाग्छ
कुरो चिनो फानो गर्न, घर आऊआऊ लाग्छ (ल है!)
घर आऊआऊ लाग्छ",20,506,mixed,devanagari,0
romanized,Bikki Gurung - Marijau2,Genius Romanizations,"एकान्तमा आयेर कानैमा मेरो सधै गुनगुनाउने
पोखेर मनका भावना सधै मलाई अंगाल्ने
तिम्रो बानी मनोमानी सदै याद आइ रहन्छ
काल कलाउदो मेरो छाती सास आधि रहन्छ
सुस्ता सुस्ता आगो बाल्दै छ छाती भित्र कतै कहि
धुवा धुवा मात्रै देख्चु अधुरो छ तिमी बिना जिन्दगी
आइ आइ मारी जाउ मारी जाउ मारी जाउँ मारी जाउँ आआआ
तिमी नै हाउ तिमी नै हाउ मनले रोजेको तिमी नै हाउ
एकान्तमा आयेर कानैमा मेरो सधै गुनगुनाउने
पोखेर मनका भावना मलाई सधै अंगाल्ने
एकान्तमा आयेर कानैमा मेरो सधै गुनगुनाउने
पोखेर मनका भावना मलाई सधै अंगाल्ने
कुरा सबै थाहा छ नी तिमीलाई के भनु मा
पगल छु मा तिम्रै लागी तिम्रो के नै छ रा दोष
तिमी हासेको हेरी रहे सधै भरि येसरी नै
तिम्रो आँखामा अन्सु देखे मारी जाउँ सासै रोकिन्छ
आइ आइ मारी जाउ मारी जाउ मारी जाउँ मारी जाउँ आआआ
तिमी नै हाउ तिमी नै हाउ मनले रोजेको तिमी नै हाउ",18,754,romanized,devanagari,1
romanized,Chup Laag,Laure,"रिस, राग, घमण्ड बढ्दैछ प्रचण्ड
एउटा आवाज चौबीस घण्टै बोल्दै चा मा संग
भाँचा देखाई डेको होस ता यो पापी संसारमा
आफ्नै अस्तित्व खोज ता बाटो नमोद ना
गर्दै जाआ जे गर्चस् अघि बदलास की ता मार्चस
औला धदै हास्चास मुजी संसार रहेचा सर्कस
सबै जना दर्सक, जीवन भयो नाटक
ठूलो सपना बोकी हिड्ने दिमाग रैचा घटक
बाकी चा यो तागत परे मेहाबात को सडक
भाग्यले दोहोर्याउन दिन्न जीवन आफै बाँचु चालक
भुट, भबिष्य, बर्तमान सबको अर्थ जाँ
आफूले सोचेको जीवन जियेसी मात्र यहा मार्पन पाम
तेही चा सोच
अघि बढिरचु
जितको खोज किनाकी
हार अली बाढी खाछु
के गरी हासु दिन भर को पागलपन
कसरी हटाउ मलाई चोपेको यो कालो बदल भन
समाजको कट्पुटाली अन्धकार मै चाउ की?
यो भाव सागरमा किना खेल्न पर्ने हो पौडी?
जहा मौलिक बिचारको मूल्य चैन फुटी कौडी
यो चक्रमा नफसा हाइ केटी सक्चस भने दौडी
अनी शोव मे ह्वाट योउ गोट
बाढी नकारात्मकक सोच्ने तेरो दिमागलाई भन चुपलाग
अनी लागी पर तेरो बाटो अनी आती बढ्न के भाको?
ता चिक्ने लाई ता मुजी मेरो साथी भन्न नी गर्हो
गाली गर्या हैन बुझिस्, तपाई माथि चड्न सिकाको
येस्तै चा यो दुनिया
संसार नराम्रो भन्दैमा किना भन्चास तेरो भूमिका?
अबा त्यो पासो अली लुलो पार
हुना ता मर्नु भन्दा मारी मारी बच्नु नै हो ठूलो हार
पोख्चु मेरो संघर्ष, कलाकारको पिडा बुझ्लास्
जे देखिन्छ त्यो हुन्न सत्य बादी पोसे दिने हरू अबा चुपलाग
पच गुणा प्यास तीन गुणा प्रयास कामको थकान पानी दोब्बर
प्रश्न चिन्ह उठाउने हरू आइजा
मेरो यो *मिडल फिंगर* औलालाई ढोग गर",36,1299,romanized,devanagari,1
romanized,Vten - Simsime Paani,Genius Romanizations,"सिमसाइम पानी रा जिस्किने नानी
उही हो, उही हो
चैन रैछ काँची तिम्रो बिच्किनी बानी
अह अह अह, येआह
येसो एक दुइटा फोटो सोतो खिच्दिम ना हामी
साही हो, साही हो
येतिकै मै काँची ले किस दियो दामी
लैजान्छु बोकेर टिमलाई आजा मा
किनाकी तिमी चौ आजा को रातमा
उठेर बसेर घुमेर नचना
टिमलाई पानी मलाई जस्तै वैर होला जसम्म
तेसैले आउन आउ तिमी भाउ नखाउ ना
हामी कुना काप्चा अध्यारो ठाउ मा जाउ ना
टेस्पाक्सी गरौला रात वरी मोज
मेरो बोका बोका पारा कस्तो लाग्यो नी हो
नजाउन पारा तिमी नजाउन छोडेर
खाइदिन्छु मोइ अबा ठुटुनै जोडेर
नजाउन पारा तिमी नजाउन छोडेर
नाचा बोरु मा संग लजाउन छोडेर
हल्लाउदै चक तिम्रो बोसो ले भरेको
थाररर लाउ ओहो के गरेको
साही हो साही हो ला दामी दामी
वोरीपारी चाइयो मलाई राम्री राम्री नानी",23,678,romanized,devanagari,1
romanized,Nishan Bhattarai & Eleena Chauhan - K Maya Lagchha Ra [Romanized],Genius Romanizations,"जुन उधाउने तारा लाग्ने सधै राती राती
एकलाई झ्यालमा बसी मैला कति हेर्नु माथि
जुन उधाउने तारा लाग्ने सधै राती राती
एकलाई झ्यालमा बसी मैला कति हेर्नु माथि
कालो कपाल घुङ्ग्रियो मन मा माया उम्रियो
कति बस्नु हेरेर, राखा माया ले बेरारा
कति दुल्छौ वरिपरि भुनभुनाउदै मौरी सरी
कति हेर्छौ घरी घरी ज्यान सुक्ला लौरी सरी
कति दुल्छौ वरिपरि भुनभुनाउदै मौरी सरी
कति हेर्छौ घरी घरी ज्यान सुक्ला लौरी सरी
[चोरुस: एलीना चौहाँ & निशान भट्टराई
के माया लाग्छ रा?
उखुम नै लाग्छ नी
मेरो याद आउछ रा?
हुर हुरी आउछ नी, हाउ
तिमीलाई हेरे पुग्छ किना जानु अन्त ?
तिम्रो येती माया पाया जाग्छ तन्तु तन्तु
तिमीलाई हेरे पुग्छ किना जानु अन्त ?
तिम्रो येती माया पाया जाग्छ तन्तु तन्तु
नचोपा त्यो मुहार बनाइदिन्छु जुहार
मेटाई देउ ताल ताल लगाइदिन [?} अलमल",21,716,romanized,devanagari,1
romanized,DHANYABAD,Kavi G,"दुइटा अवुला माथि
त्यो हो मेरो गाङ सिग्न
त्यो हो मेरो गाङ सिग्न
दुइटा अवुला माथि
त्यो हो मेरो गाङ सिग्न
त्यो हो मेरो गाङ सिग्न
दुइटा अवुला माथि
त्यो हो मेरो गाङ सिग्न
त्यो हो मेरो गाङ सिग्न
मह एउटा गीत गौचु सुन्ने वये काँ थापा
मह तिम्रो सोच माआ हैन बस्ने गर्चु आत्मा माआ
आजा संसार देख्चु हिजो थिये काखमा मह
कवि जी चुर्पी बोकी आउदै चा धारण बाटा
सलालालाला बागी रहने ढलको पानी हो मह
माडेर कत्ला जुईको चाहन्चु मह पखालिन
बाटो छेक्ने पत्र हरू धेरै हुन्चन काठा बित्र
पूर्बको साँ सक्दैन एत्तिकै अत्तालिन
चनेर खान्चु चना थुक्पाको झोल बाटा
टुप तानी निस्किये मह खजुरेको टोल बाटा
खाली पोस्ट माआ सिकेको नै चाइमा मैले गोल हान्न
रा तेरो चिप्पाको नम्बर पानी मेरो फोन माआ चा
मह बिना केटीए हरूलाई राप हान्नै बोरे भाचा
स्टेज माआ आगो बाल्चा जबा जाँचु शोव हान्न
मह एमआईसी लाई ख्वाप खुप खाइदिन्छु स्वर बाटा
ला मेरो लागी ताली बजाइदेन झोरदार ता
हामलाई बाटो डोर्याउने टीआई हात हरू खा च्यान?
पैसा नव बेला येसलाई झर्न पर्ने समान
जबा चैन काम धन्दा दाम आयारझन्",28,930,romanized,devanagari,1
